code,city,country,lat,lon
IVL,IVALO,FINLAND,68.607,27.405
JOE,JOENSUU,FINLAND,62.659,29.624
JYV,JYVASKYLA,FINLAND,62.399,25.678
KAU,KAUHAVA,FINLAND,63.127,23.051
KEM,KEMI,FINLAND,65.782,24.599
KAJ,KAJAANI,FINLAND,64.285,27.692
N/A,KAUHAJOKI,FINLAND,62.463,22.393
KOK,KRUUNUPYY,FINLAND,63.721,23.143
N/A,KEMIJARVI,FINLAND,66.713,27.157
KAO,KUUSAMO,FINLAND,65.987,29.239
KTT,KITTILA,FINLAND,67.701,24.847
KUO,KUOPIO,FINLAND,63.007,27.798
N/A,VESIVEHMAA,FINLAND,61.144,25.693
LPP,LAPPEENRANTA,FINLAND,61.044,28.144
MHQ,MARIEHAMN,FINLAND,60.122,19.898
N/A,MENKIJARVI,FINLAND,62.947,23.519
MIK,MIKKELI,FINLAND,61.686,27.202
N/A,NUMMELA,FINLAND,60.334,24.296
OUL,OULU,FINLAND,64.930,25.354
N/A,PIIKAJARVI,FINLAND,61.246,22.193
POR,PORI,FINLAND,61.462,21.800
N/A,PUDASJARVI,FINLAND,65.402,26.947
N/A,PYHASALMI,FINLAND,63.732,25.926
N/A,PATTIJOKI,FINLAND,64.688,24.696
N/A,RANTASALMI,FINLAND,62.065,28.356
RVN,ROVANIEMI,FINLAND,66.565,25.830
N/A,RAYSKALA,FINLAND,60.745,24.108
SVL,SAVONLINNA,FINLAND,61.943,28.945
N/A,SELANPAA,FINLAND,61.062,26.799
SOT,SODANKYLA,FINLAND,67.395,26.619
TMP,TAMPERE,FINLAND,61.414,23.604
N/A,TEISKO,FINLAND,61.773,24.027
TKU,TURKU,FINLAND,60.514,22.263
QVY,UTTI,FINLAND,60.896,26.938
VAA,VAASA,FINLAND,63.051,21.761
VRK,VARKAUS,FINLAND,62.171,27.869
N/A,YLIVIESKA-RAUDASKYLA,FINLAND,64.060,24.716
BFS,BELFAST,NORTH IRELAND,54.657,-6.216
ENK,ENNISKILLEN,ENGLAND,54.399,-7.652
BHD,BELFAST,NORTH IRELAND,54.618,-5.873
LDY,LONDONDERRY,NORTH IRELAND,55.043,-7.161
BHX,BIRMINGHAM,ENGLAND,52.454,-1.748
CVT,COVENTRY,ENGLAND,52.370,-1.480
N/A,LEICESTER,ENGLAND,52.608,-1.032
GLO,GOLOUCHESTERSHIRE,ENGLAND,51.894,-2.167
N/A,NOTTINGHAM,ENGLAND,52.920,-1.079
N/A,HALFPENNY GREEN,ENGLAND,52.517,-2.260
N/A,PAILTON,UK,51.668,-2.057
N/A,TURWESTON,UK,52.041,-1.096
MAN,MANCHESTER,ENGLAND,53.354,-2.275
N/A,WOODFORT,ENGLAND,53.338,-2.149
N/A,SANDTOFT,UK,53.560,-0.858
